,,,,,,,,,,,,,,,
STT,Code,Hình thức,Định dạng,USP,Link mẫu,Nội dung content (key bài viết + cách triển khai),Ảnh,Caption,Link trả bài ,Comment,UTM,ADS,Tình trạng,,
1,code1,Storytelling page cá nhân,Post,"- AI đồng hành 1 kèm 1 mọi lúc mọi nơi
- Bài giảng biên soạn bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi có đáp án và lời giải chi tiết
- Chi phí thấp, hiệu quả cao
- Bài giảng dễ hiểu, minh họa trực quan",,"* Key chính:
- Thiếu thời gian, kiến thức và mất kiên nhẫn trong việc dạy con
- Con tư duy logic kém, khó giải quyết vấn đề, làm bài máy móc không linh hoạt
* Triển khai:
- Học ở bên ngoài nhưng không hiệu quả chi phí cao
- Giới thiệu khóa học, các đặc điểm khóa học ở USP
- Hiệu quả thay đổi, ...
- CTA ",Ảnh,"Thời gian, kiến thức và kiên nhẫn là những gì em không có trong việc dạy con học!!","Thời gian, kiến thức và kiên nhẫn trong việc dạy con",ok,utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code1,CVS_TUANTA_14/05_CODE1,,,
2,code2,PR,Post,"- Chi phí thấp từ 3k/ngày
- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập
- ",,"* Key chính:
-  30 Ngày Làm Chủ Môn Toán Với Gia Sư AI Kèm 1:1
* Triển khai:
- Nêu các đặc điểm khóa học ở USP
- CTA","Brief: 
- Tỉ lệ ảnh 1:1
- Title: 30 ngày làm chủ môn toán với ""gia sư"" AI 1 kèm 1
- Làm nổi bật: ""làm chủ"", ""Gia sư"" AI
- Hình ảnh chính: 1 em bé tự tin (đang ngồi học/ ...)
- Thiết kế theo style chung của page",30 Ngày Con Làm Chủ Môn Toán Với Gia Sư AI Kèm 1:1,30 Ngày Con Làm Chủ Môn Toán Với Gia Sư AI Kèm 1:1,"Content ok 
Brief ảnh sửa lại theo comment. Sửa xong thì có thể order ảnh luôn nhé.

Đã sửa brief 

ok",utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code2,CVS_TUANTA_19/05_CODE2,,,
3,code3,Storytelling page cá nhân,Post,"- Chi phí học tập thấp chỉ từ 3k/ngày
- App toán tư duy AI thông minh , gia sư riêng với từng bạn",,"* Key chính:
- Chi chí học thêm bên ngoài, con đi học mà không thấy thay đổi nhiều, không cho đi học thì sợ tụt lùi so với các bạn
",,"CON TĂNG TỪ 4 LÊN 5 ĐIỂM THI HỌC KÌ MÔN TOÁN - ĐÓ LÀ NHỮNG GÌ EM NHẬN ĐƯỢC KHI TỐN HƠN 5 TRIỆU/THÁNG CHO CON ĐI HỌC NGOÀI",CON TĂNG TỪ 4 LÊN 5 ĐIỂM THI HỌC KÌ MÔN TOÁN - ĐÓ LÀ NHỮNG GÌ EM NHẬN ĐƯỢC KHI TỐN HƠN 5 TRIỆU/THÁNG CHO CON ĐI HỌC NGOÀI,"Đã comment

Đã sửa

ok",utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code3,CVS_TUANTA_14/05_CODE3,,,
4,code5,Storytelling page cá nhân,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Phương pháp dạy con đạt điềm cao môn toán
- Phụ huynh không có kỹ năng dạy học",,DẠY CON ĐẠT 9 ĐIỂM TOÁN – TƯỞNG KHÓ MÀ DỄ!!,DẠY CON ĐẠT 9 ĐIỂM TOÁN – TƯỞNG KHÓ MÀ DỄ,ok,utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code5,CVS_TUANTA_14/05_CODE5,v,,
5,code4,Review,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Các tính năng học tập trong ứng dụng
- Phương pháp học được gợi mở tư duy, không bị máy móc, khuôn mẫu",,"* Key chính:
- Sự khác biệt của đứa trẻ được học thêm toán tư duy và đứa trẻ chỉ được học toán thông thường",,ĐỨA TRẺ ĐƯỢC HỌC TOÁN TƯ DUY VƯỢT TRỘI HƠN CÁC BẠN ĐỒNG TRANG LỨA NHƯ THẾ NÀO?,ĐỨA TRẺ ĐƯỢC HỌC TOÁN TƯ DUY VƯỢT TRỘI HƠN CÁC BẠN ĐỒNG TRANG LỨA NHƯ THẾ NÀO,ok,utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code4,CVS_TUANTA_14/05_CODE 4+6,v,,
6,code6,Review,Post,"- Gia sư AI đồng hành cùng con trong quá trình cá nhân hóa lộ trình.
- Nội dung, phương pháp dạy học trực quan sinh động, tư duy phân tích, giải đề.
- Chi phí học toán thấp chỉ từ 3.000đ/ngày",,"* Key chính:
- Review các tính năng của ứng dụng toán Kurio",,Review Hành Trình Dạy Con Học Toán với Ứng Dụng Kurio – Quyết Định Sáng Suốt Nhất Của Mình!,Review Hành Trình Dạy Con Học Toán với Ứng Dụng Kurio – Quyết Định Sáng Suốt Nhất Của Mình,"Sửa thông điệp học thử là ok

Đã sửa
ok",utm_source=FB&utm_medium=CVS&utm_campaign=img&utm_term=TUANTA&utm_content=code6,CVS_TUANTA_14/05_CODE 4+6,,,
7,code7,Storytelling page cá nhân,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Đầu tư cho con học nhưng hiệu quả thấp, không đem lại thay đổi nhiều",,"CHO CON HỌC TOÁN TƯ DUY - TÔI KHÔNG NGẠI ĐẦU TƯ, TÔI CẦN HIỆU QUẢ","CHO CON HỌC TOÁN TƯ DUY - TÔI KHÔNG NGẠI ĐẦU TƯ, TÔI CẦN HIỆU QUẢ","Nội dung 3 bài này cơ bản là ok nhé, em có thể sử dụng. Nhưng em lưu ý có thể thay đổi 1 số cái sau: 

1. Cách xưng hô thì linh hoạt một chút ở các bài khác nhau. Bài xưng tôi thì bài xưng mình, các mẹ - em,... để cho nó đa dạng hơn và nghe cũng giống giọng văn của nhiều mẹ bỉm hơn 

2. Về đặt link tracking: Em có thể đặt thêm 1 link ở giữa bài ở ngay cái đoạn mà bắt đầu nói về Kurio ấy, tất nhiên là mình điều hướng CTA nhẹ nhàng kiểu tham khảo/đây app này... ko nặng nề quảng cáo như CTA đăng ký

3. Em viết thêm các dạng bài PR + ảnh/video khác để chạy thêm trên fanpage Kurio nhé, page Kurio chạy tỷ lệ chốt cũng ok đó. 

Đã sửa các xưng hô và thêm link điều hướng",,CVS_TUANTA_21/05_CODE7,m,,
8,code8,Storytelling page cá nhân,Post,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Tăng 5 điểm toán trong 2 tháng - Điều tưởng chừng không thể trong hành trình dạy con của tôi",,Tăng 5 điểm Toán trong 2 tháng – Điều tưởng chừng không thể trong hành trình dạy con của tôi.,Tăng 5 điểm Toán trong 2 tháng – Điều tưởng chừng không thể trong hành trình dạy con của tôi,,,CVS_TUANTA_21/05_CODE8,m,,
9,code9,Storytelling page cá nhân,Post,"- App toán tư duy ứng dụng AI thông minh, gia sư kèm 1:1
- Bài giảng trực quan sinh động, được biên soạn theo chương trình của BGD
- Phương pháp học độc đáo, tiên tiến sử dụng game hóa và cổ tích logic và bài luyện tập",,"* Key chính:
- Từ 1 đứa sợ toán, đến 1 học sinh đứng đầu lớp chỉ trong 1 học kì
- Từ làm bài máy móc, kh hiểu đề đến việc hiểu đề - biết phân tích bài",,Từ “ĐỘI SỔ” Toán trên lớp đến top 3 đầu bảng – Hành trình 6 tháng thay đổi của con,Từ “ĐỘI SỔ” Toán trên lớp đến top 3 đầu bảng – Hành trình 6 tháng thay đổi của con,,,CVS_TUANTA_21/05_CODE9,m,,
10,code10,PR,Post,"- Nhờ gia sư toán AI 1 kèm 1
- Bài giảng bám sát chương trình bộ giáo dục
- Luyện tập, luyện thi hàng tháng có bài giải chi tiết, được hướng dẫn tỉ mỉ",,"* Key chính:
- Tăng 3-5 điểm Toán sau kỳ nghỉ hè – Bí quyết từ “gia sư AI” 1 kèm 1","* Brief: 
- Tỉ lệ ảnh 1:1
- Title: Tăng 3-5 điểm Toán sau kỳ nghỉ hè
- Làm nổi bật: Tăng 3-5 điểm Toán
- hình ảnh: tùy chọn phù hợp với text
- CTA: Xem ngay
- Thiết kế theo style chung của page",Tăng 3-5 điểm Toán sau kỳ nghỉ hè – Bí quyết từ “gia sư AI” 1 kèm 1,📈 Tăng 3-5 điểm Toán sau kỳ nghỉ hè – Bí quyết từ “gia sư AI” 1 kèm 1,"Nội dung ok, em brief ảnh c duyệt luôn nhé

Đã thêm brief

Brief nd ok nhưng cái ảnh mẫu c đang thấy k khớp bố cục của em vs bố cục text trên ảnh mẫu. Nếu em muốn sử dụng y chang thì mô tả kỹ hơn cho design còn nếu ko thì cứ để design tự sáng tạo nhé. Cái này chủ động nhé ko cần gửi c duyệt lại. ",,CVS_TUANTA_20/05_CODE10+20,m,,
