ADS	LEAD	CHI PHÍ	CPL	Đơn	Doanh thu	ROAS
13-xpage-kv	18	3.926.481	218.138	3	5.200.000	1,32
13x-kv	0	433.910	#DIV/0!			0,00
17x-kv	4	1.308.668	327.167			0,00
2-code13	6	4.174.883	695.814	2	2.700.000	0,65
2-code19	0	940	#DIV/0!			0,00
3-NOTT	14	9.565.896	683.278	2	4.300.000	0,45
3-RLTH	13	5.562.630	427.895	6	10.900.000	1,96
3-RLTH1	0	10.702	#DIV/0!			0,00
3-RLTH2	0	76.782	#DIV/0!			0,00
30th6_55	1	1.059.036	1.059.036			0,00
30th6_58	0	659.804	#DIV/0!			0,00
45-xpage-kv	25	3.962.555	158.502			0,00
45TR	2	953.130	476.565			0,00
83-xpage-kv	33	3.968.223	120.249	2	3.100.000	0,78
8D	7	3.753.730	536.247	4	7.000.000	1,86
chuyencap	1	1.074.783	1.074.783	1	1000000	0,93
code_2503	0	95.273	#DIV/0!			0,00
code102-2	55	19.002.263	345.496	5	8.100.000	0,43
code104-2	2	1.712.575	856.288			0,00
code110	0	640.024	#DIV/0!			0,00
code118-xpage	14	3.086.343	220.453	1	1.300.000	0,42
code119-xpage	8	1.370.815	171.352	2	2.600.000	1,90
code123-xpage	0	25.216	#DIV/0!			0,00
code125-xpage	7	2.863.412	409.059	1	1.000	0,00
code127	4	881.242	220.311			0,00
code128	32	14.356.133	448.629	4	5.100.000	0,36
code13	62	26.605.431	429.120	10	15300000	0,58
code13_xpage	43	10.257.801	238.554	7	13.000.000	1,27
code13-reup	28	6.208.544	221.734	2	2.400.000	0,39
code13-x	0	451.950	#DIV/0!			0,00
code131	2	3.258.530	1.629.265	1	1.500.000	0,46
code131-xpage	0	552.998	#DIV/0!			0,00
code132-xpage	0	85.795	#DIV/0!			0,00
code14	29	12.563.300	433.217	1	800.000	0,06
code14_xpage	3	992.197	330.732	1	1.300.000	1,31
code14-2	0	853.391	#DIV/0!			0,00
code14-3	1	386.100	386.100	1	1.100.000	2,85
code14-xpage	24	5.501.505	229.229			0,00
code140	14	7.009.405	500.672	5	10.800.000	1,54
code141	4	3.829.921	957.480			0,00
code141-3	3	2.314.167	771.389			0,00
code147	6	4.681.063	780.177	1	1.600.000	0,34
code147-reup	1	987.910	987.910			0,00
code15	0	7.384	#DIV/0!			0,00
code15_xpage	33	4.843.387	146.769	3	3.900.000	0,81
code15-xpage	3	1.115.187	371.729			0,00
code156	0	136.530	#DIV/0!			0,00
code17	0	11.235	#DIV/0!			0,00
code17-xpage	64	14.016.005	219.000	4	6.300.000	0,45
code176	1	1.026.011	1.026.011			0,00
code177	0	112.995	#DIV/0!			0,00
code177-reup	0	32.651	#DIV/0!			0,00
code182	13	9.804.884	754.222	6	9.100.000	0,93
code182-2	1	1.580.458	1.580.458			0,00
code182-3	0	85.690	#DIV/0!			0,00
code183	0	120.118	#DIV/0!			0,00
code183-3	0	0	#DIV/0!			#DIV/0!
code184	1	532.715	532.715			0,00
code185	0	375.304	#DIV/0!			0,00
code186	58	21.346.184	368.038	12	19.700.000	0,92
code186-2	0	70.182	#DIV/0!			0,00
Code187	4	1.486.147	371.537			0,00
code187-3	0	218	#DIV/0!			0,00
code190	1	414.886	414.886			0,00
code191	0	216.463	#DIV/0!			0,00
code192	1	322.018	322.018			0,00
code200	14	7.056.698	504.050	5	5.100.000	0,72
code205	1	413.482	413.482			0,00
code206	0	154.023	#DIV/0!			0,00
Code209	1	1.730.111	1.730.111			0,00
Code210	0	367.766	#DIV/0!			0,00
code212	1	641.225	641.225			0,00
code214	3	2.527.438	842.479	1	1.300.000	0,51
code216	12	5.245.761	437.147			0,00
code217	0	1.116.639	#DIV/0!			0,00
code219	3	2.404.268	801.423	1	1.300.000	0,54
code22-xpage	0	31.214	#DIV/0!			0,00
CODE220	1	1.423.580	1.423.580			0,00
CODE221	0	157.419	#DIV/0!			0,00
CODE222	2	1.390.503	695.252			0,00
CODE223	0	180.175	#DIV/0!			0,00
code26	0	30.295	#DIV/0!			0,00
code27	1	27.077	27.077			0,00
code28	2	1.766.015	883.008			0,00
code29	0	286.337	#DIV/0!			0,00
code4	28	14.447.755	515.991	11	14.600.000	1,01
code4-2	7	6.708.640	958.377	4	17.900.000	2,67
code42	1	714.843	714.843			0,00
code43-3	2	702.173	351.087	1	1.100.000	1,57
code43-xp	47	7.182.720	152.824	3	4.900.000	0,68
code44	5	1.502.513	300.503			0,00
code44-xp	0	224.174	#DIV/0!			0,00
code45	3	1.231.019	410.340	2	2.000.000	1,62
code45-2	3	2.663.304	887.768	1	1.700.000	0,64
code45-3	52	19.532.602	375.627	9	13.000.000	0,67
code45-reup	25	3.980.414	159.217	3	4.300.000	1,08
code45-xp	56	10.767.371	192.274	4	5.400.000	0,50
code46	0	5.433	#DIV/0!			0,00
code47	0	670.846	#DIV/0!			0,00
code48	0	28.106	#DIV/0!			0,00
code63	64	25.864.886	404.139	20	32.550.000	1,26
code63-2	10	3.371.521	337.152	1	900.000	0,27
code63-3	46	15.723.756	341.821	18	28.900.000	1,84
code66	2	1.061.070	530.535	1	1.700.000	1,60
code7	0	108.246	#DIV/0!	1	2.200.000	20,32
code70-xpage	1	336.748	336.748			0,00
code72	0	368.090	#DIV/0!			0,00
code73	1	3.080.205	3.080.205			0,00
code74	1	1.529.595	1.529.595			0,00
code75	0	436.567	#DIV/0!			0,00
code77-3	1	1.338.670	1.338.670			0,00
code78-xpage	0	499.337	#DIV/0!			0,00
code8	0	274.425	#DIV/0!			0,00
code81-reup	6	1.516.763	252.794			0,00
code82-reup	0	509.054	#DIV/0!			0,00
code83	25	10.198.344	407.934	2	9.250.000	0,91
code83-reup	0	402.252	#DIV/0!			0,00
code83-x3	64	23.001.886	359.404	12	20.050.000	0,87
code83-xp	45	6.631.033	147.356	5	8.300.000	1,25
code84	0	36.023	#DIV/0!			0,00
code84-xp	0	12.681	#DIV/0!			0,00
code85-reup	18	3.825.638	212.535			0,00
code86-reup	0	209.968	#DIV/0!			0,00
code87	2	589.641	294.821			0,00
