Code,is_xpage,First month,YTD spend,YTD rev,YTD ROAS,,Apr+May spend,Apr+May rev,Apr+May ROAS,,2026-01 spend,2026-01 rev,2026-01 ROAS,,2026-02 spend,2026-02 rev,2026-02 ROAS,,2026-03 spend,2026-03 rev,2026-03 ROAS,,2026-04 spend,2026-04 rev,2026-04 ROAS,,2026-05 spend,2026-05 rev,2026-05 ROAS,,5/4-5/10 spend,5/4-5/10 regs,5/4-5/10 CPR,5/4-5/10 rev,5/4-5/10 ROAS,,5/11-5/17 spend,5/11-5/17 regs,5/11-5/17 CPR,5/11-5/17 rev,5/11-5/17 ROAS
code63,FALSE,2026-01,"127,823,577","67,000,000",0.524,,"30,566,013","22,400,000",0.733,,"32,784,842","14,100,000",0.43,,"15,154,017","3,600,000",0.238,,"49,318,705","26,900,000",0.545,,"26,290,378","19,700,000",0.749,,"4,275,635","2,700,000",0.631,,"3,592,909",2,"1,796,455","1,000,000",0.278,,"682,726",1,"682,726",0,0
code13,FALSE,2026-01,"91,792,950","44,550,000",0.485,,"36,169,273","18,250,000",0.505,,"12,695,417","7,300,000",0.575,,"14,201,250","6,400,000",0.451,,"28,727,010","12,600,000",0.439,,"27,010,034","13,050,000",0.483,,"9,159,239","5,200,000",0.568,,"3,857,221",11,"350,656","1,700,000",0.441,,"3,426,876",10,"342,688","2,000,000",0.584
code83,FALSE,2026-01,"63,486,854","29,900,000",0.471,,"10,873,476","2,200,000",0.202,,"14,673,334","1,300,000",0.089,,"9,245,227","9,800,000",1.06,,"28,694,817","16,600,000",0.579,,"7,352,208","1,100,000",0.15,,"3,521,268","1,100,000",0.312,,"3,127,220",9,"347,469",0,0,,"272,880",0,,"1,100,000",4.031
code83-x3,FALSE,2026-01,"51,712,700","28,800,000",0.557,,"28,339,988","18,100,000",0.639,,"7,493,862","2,100,000",0.28,,"4,876,360","2,600,000",0.533,,"11,002,490","6,000,000",0.545,,"18,016,376","11,200,000",0.622,,"10,323,612","6,900,000",0.668,,"4,864,066",10,"486,407","3,100,000",0.637,,"3,604,552",14,"257,468","2,800,000",0.777
code182,FALSE,2026-01,"49,664,751","18,350,000",0.369,,"10,251,903","9,650,000",0.941,,"13,941,888","1,300,000",0.093,,"5,910,097",0,0,,"19,560,863","7,400,000",0.378,,"9,890,574","6,900,000",0.698,,"361,329","2,750,000",7.611,,,,,,,,"361,329",0,,"2,750,000",7.611
code14,FALSE,2026-01,"42,306,305","23,600,000",0.558,,"13,196,016","11,800,000",0.894,,"13,978,230","7,400,000",0.529,,"8,580,523",0,0,,"6,551,536","4,400,000",0.672,,"10,667,402","10,500,000",0.984,,"2,528,614","1,300,000",0.514,,"1,895,898",3,"631,966",0,0,,"632,716",0,,"1,300,000",2.055
ct19,FALSE,2026-01,"41,488,161","21,150,000",0.51,,"16,961,270","8,800,000",0.519,,"11,847,219","6,350,000",0.536,,"6,147,784","3,000,000",0.488,,"6,531,888","3,000,000",0.459,,"7,192,375","6,100,000",0.848,,"9,768,895","2,700,000",0.276,,"4,044,808",10,"404,481",0,0,,"3,777,885",7,"539,698",0,0
vtv,FALSE,2026-01,"41,263,446","1,000,000",0.024,,"14,785,695","1,000,000",0.068,,"9,105,232",0,0,,"8,027,412",0,0,,"9,345,107",0,0,,"8,905,641",0,0,,"5,880,054","1,000,000",0.17,,"1,987,284",0,,0,0,,"2,124,613",0,,"1,000,000",0.471
code128,FALSE,2026-01,"40,966,233","46,800,000",1.142,,"17,408,355","20,100,000",1.155,,"699,235","1,300,000",1.859,,"2,538,763","2,600,000",1.024,,"20,319,880","22,800,000",1.122,,"10,889,442","7,400,000",0.68,,"6,518,913","12,700,000",1.948,,"3,466,691",10,"346,669","1,300,000",0.375,,"1,130,442",2,"565,221","3,600,000",3.185
nm,FALSE,2026-01,"40,519,889","30,550,000",0.754,,"9,211,787","5,800,000",0.63,,"8,696,856","14,200,000",1.633,,"8,089,312","5,800,000",0.717,,"14,521,934","4,750,000",0.327,,"3,559,793","4,800,000",1.348,,"5,651,994","1,000,000",0.177,,"3,265,946",12,"272,162",0,0,,"1,237,253",4,"309,313","1,000,000",0.808
nm-3,FALSE,2026-02,"39,807,920","37,350,000",0.938,,"30,235,592","28,750,000",0.951,,0,0,,,"2,674,243",0,0,,"6,898,085","8,600,000",1.247,,"17,738,588","20,450,000",1.153,,"12,497,004","8,300,000",0.664,,"7,939,469",24,"330,811",0,0,,"2,914,308",12,"242,859","2,100,000",0.721
code45-3,FALSE,2026-02,"39,741,689","40,000,000",1.006,,"21,546,883","14,250,000",0.661,,0,"4,500,000",,,"1,311,399","1,300,000",0.991,,"16,883,407","19,950,000",1.182,,"17,086,391","8,050,000",0.471,,"4,460,492","6,200,000",1.39,,"2,323,806",7,"331,972","4,800,000",2.066,,"2,014,281",1,"2,014,281","1,400,000",0.695
code4,FALSE,2026-01,"39,534,131","34,250,000",0.866,,"14,767,524","22,950,000",1.554,,"11,583,639","2,700,000",0.233,,"2,562,723","1,300,000",0.507,,"10,620,245","7,300,000",0.687,,"13,787,354","18,200,000",1.32,,"980,170","4,750,000",4.846,,"660,401",1,"660,401","1,200,000",1.817,,"319,769",1,"319,769","800,000",2.502
code63-3,FALSE,2026-01,"36,565,602","54,350,000",1.486,,"16,776,001","12,050,000",0.718,,"5,209,821","8,250,000",1.584,,"3,242,129","7,900,000",2.437,,"11,337,651","26,150,000",2.306,,"11,867,609","7,250,000",0.611,,"4,908,392","4,800,000",0.978,,"3,856,147",7,"550,878","1,300,000",0.337,,"1,052,245",1,"1,052,245","1,000,000",0.95
code186,FALSE,2026-01,"34,206,736","29,450,000",0.861,,"22,198,869","21,150,000",0.953,,"155,234",0,0,,"994,839",0,0,,"10,857,794","8,300,000",0.764,,"16,101,582","20,050,000",1.245,,"6,097,287","1,100,000",0.18,,"5,244,820",12,"437,068",0,0,,"852,467",0,,0,0
8d,FALSE,2026-01,"32,049,070","9,800,000",0.306,,"3,753,730","1,700,000",0.453,,"12,316,084","5,100,000",0.414,,"9,379,957","3,000,000",0.32,,"6,599,299",0,0,,"3,753,730",0,0,,0,"1,700,000",,,0,0,,"1,700,000",,,,,,,
code102-2,FALSE,2026-03,"30,342,232","21,900,000",0.722,,"20,853,180","16,200,000",0.777,,0,"1,300,000",,,0,0,,,"9,489,052","4,400,000",0.464,,"13,862,532","8,800,000",0.635,,"6,990,648","7,400,000",1.059,,"5,139,731",19,"270,512","1,700,000",0.331,,"1,850,917",3,"616,972","2,600,000",1.405
cx-94,FALSE,2026-01,"28,958,973","54,800,000",1.892,,"11,871,337","13,850,000",1.167,,"2,536,830","9,000,000",3.548,,"2,181,373","10,300,000",4.722,,"12,369,433","21,650,000",1.75,,"7,331,811","10,850,000",1.48,,"4,539,526","3,000,000",0.661,,"1,446,313",5,"289,263","1,300,000",0.899,,"649,032",1,"649,032",0,0
cx-93,FALSE,2026-01,"26,252,165","20,500,000",0.781,,"9,190,296","7,600,000",0.827,,"3,121,072",0,0,,"2,413,357","1,300,000",0.539,,"11,527,440","11,600,000",1.006,,"4,683,094","2,800,000",0.598,,"4,507,202","4,800,000",1.065,,"3,468,454",17,"204,027","2,000,000",0.577,,"347,061",1,"347,061","2,800,000",8.068
code45,FALSE,2026-01,"26,208,289","3,750,000",0.143,,"2,600,188",0,0,,"7,628,243",0,0,,"4,115,024",0,0,,"11,864,834","3,750,000",0.316,,"2,600,188",0,0,,0,0,,,,,,,,,,,,,
code140,FALSE,2026-01,"24,667,849","10,900,000",0.442,,"7,009,405","6,000,000",0.856,,"5,159,367","1,300,000",0.252,,"3,844,785",0,0,,"8,654,292","3,600,000",0.416,,"7,009,405","6,000,000",0.856,,0,0,,,,,,,,,,,,,
code170,FALSE,2026-01,"23,772,506","14,350,000",0.604,,0,"1,000,000",,,"18,066,359","10,750,000",0.595,,"4,567,464","1,300,000",0.285,,"1,138,683","1,300,000",1.142,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
cx-3,FALSE,2026-02,"23,695,946","14,750,000",0.622,,"18,021,558","12,250,000",0.68,,0,0,,,"603,363",0,0,,"5,071,025","2,500,000",0.493,,"14,043,164","11,250,000",0.801,,"3,978,394","1,000,000",0.251,,"3,123,296",10,"312,330",0,0,,"651,154",5,"130,231","1,000,000",1.536
cx93-3,FALSE,2026-02,"23,495,164","13,150,000",0.56,,"15,994,044","7,450,000",0.466,,0,0,,,"449,474","1,300,000",2.892,,"7,051,646","4,400,000",0.624,,"5,592,870","1,300,000",0.232,,"10,401,174","6,150,000",0.591,,"5,612,518",28,"200,447","1,000,000",0.178,,"3,387,332",17,"199,255","1,600,000",0.472
intro2-xpage,TRUE,2026-04,"22,988,679","36,450,000",1.586,,"22,988,679","36,450,000",1.586,,0,0,,,0,0,,,0,0,,,"4,224,354","6,500,000",1.539,,"18,764,325","29,950,000",1.596,,"5,844,265",31,"188,525","11,050,000",1.891,,"8,820,316",52,"169,621","13,300,000",1.508
45tr,FALSE,2026-01,"21,715,837","1,300,000",0.06,,"953,130",0,0,,"13,732,947","1,300,000",0.095,,"5,542,626",0,0,,"1,487,134",0,0,,"217,473",0,0,,"735,657",0,0,,"735,657",2,"367,829",0,0,,,,,,
code147,FALSE,2026-01,"21,434,148","10,200,000",0.476,,"4,681,063","2,300,000",0.491,,"3,905,555","2,900,000",0.743,,"4,544,870","3,000,000",0.66,,"8,302,660","2,000,000",0.241,,"4,065,576","2,300,000",0.566,,"615,487",0,0,,"615,487",0,,0,0,,,,,,
3-nott,FALSE,2026-02,"18,943,308","13,900,000",0.734,,"9,913,245","5,100,000",0.514,,0,0,,,"716,825",0,0,,"8,313,238","8,800,000",1.059,,"8,842,733","5,100,000",0.577,,"1,070,512",0,0,,"723,163",0,,0,0,,"347,349",0,,0,0
code45-xp,TRUE,2026-04,"17,495,819","26,000,000",1.486,,"17,495,819","26,000,000",1.486,,0,0,,,0,0,,,0,0,,,"5,905,908","12,300,000",2.083,,"11,589,911","13,700,000",1.182,,"4,727,354",22,"214,880","4,800,000",1.015,,"4,735,695",18,"263,094","6,300,000",1.33
code17-xpage,TRUE,2026-04,"15,884,177","1,700,000",0.107,,"15,884,177","1,700,000",0.107,,0,0,,,0,0,,,0,0,,,"6,713,181","1,700,000",0.253,,"9,170,996",0,0,,"7,190,432",34,"211,483",0,0,,"1,868,172",0,,0,0
cx,FALSE,2026-01,"15,047,870",0,0,,"4,391,557",0,0,,"1,046,929",0,0,,"1,210,394",0,0,,"8,398,990",0,0,,"617,286",0,0,,"3,774,271",0,0,,"1,118,971",2,"559,486",0,0,,"159,314",0,,0,0
code4-2,FALSE,2026-02,"14,551,854","15,650,000",1.075,,"8,445,395","8,150,000",0.965,,0,0,,,"712,396","2,100,000",2.948,,"5,394,063","5,400,000",1.001,,"5,469,768","5,250,000",0.96,,"2,975,627","2,900,000",0.975,,"1,238,872",2,"619,436",0,0,,"1,038,441",4,"259,610","2,900,000",2.793
code13_xpage,TRUE,2026-04,"14,499,968","14,850,000",1.024,,"14,499,968","14,850,000",1.024,,0,0,,,0,0,,,0,0,,,"5,634,578","7,850,000",1.393,,"8,865,390","7,000,000",0.79,,"4,499,862",16,"281,241",0,0,,"2,278,549",10,"227,855","4,300,000",1.887
nott,FALSE,2026-02,"14,324,272","18,700,000",1.305,,"4,198,514","1,500,000",0.357,,0,"8,200,000",,,"4,126,826","7,800,000",1.89,,"5,998,932","1,200,000",0.2,,"3,489,819","1,500,000",0.43,,"708,695",0,0,,"708,695",1,"708,695",0,0,,,,,,
code131,FALSE,2026-02,"12,944,489","5,400,000",0.417,,"3,897,323","1,500,000",0.385,,0,0,,,"4,154,636","1,300,000",0.313,,"4,892,530","2,600,000",0.531,,"3,182,730","1,500,000",0.471,,"714,593",0,0,,"714,593",0,,0,0,,,,,,
code13-reup,FALSE,2026-04,"12,909,310","7,900,000",0.612,,"12,909,310","7,900,000",0.612,,0,0,,,0,0,,,0,0,,,"1,449,025",0,0,,"11,460,285","7,900,000",0.689,,"4,759,519",22,"216,342",0,0,,"4,874,197",19,"256,537","6,900,000",1.416
code171,FALSE,2026-01,"12,415,176","16,650,000",1.341,,0,"2,100,000",,,"9,888,104","6,600,000",0.667,,"1,448,768","6,950,000",4.797,,"1,078,304","1,000,000",0.927,,0,"2,100,000",,,0,0,,,,,,,,,,,,,
code187,FALSE,2026-01,"12,207,238","3,600,000",0.295,,"1,486,147","2,300,000",1.548,,"1,646,642",0,0,,"3,044,744",0,0,,"6,029,705","1,300,000",0.216,,"1,486,147","2,300,000",1.548,,0,0,,,,,,,,,,,,,
ct18-xpage,TRUE,2026-04,"11,976,690","5,300,000",0.443,,"11,976,690","5,300,000",0.443,,0,0,,,0,0,,,0,0,,,"2,399,207","3,100,000",1.292,,"9,577,483","2,200,000",0.23,,"5,071,503",12,"422,625",0,0,,"3,639,007",17,"214,059",0,0
code94,FALSE,2026-01,"11,938,791",0,0,,0,0,,,"2,260,381",0,0,,"3,513,050",0,0,,"6,165,360",0,0,,0,0,,,0,0,,,,,,,,,,,,,
3-rlth,FALSE,2026-02,"11,886,499","15,900,000",1.338,,"9,502,986","8,900,000",0.937,,0,"1,000,000",,,"1,004,752",0,0,,"1,378,761","6,000,000",4.352,,"3,652,410","5,300,000",1.451,,"5,850,576","3,600,000",0.615,,"1,910,220",8,"238,778","2,300,000",1.204,,"3,040,717",5,"608,143","1,300,000",0.428
code141,FALSE,2026-01,"11,872,741","8,200,000",0.691,,"3,829,921","1,000,000",0.261,,"3,089,530",0,0,,"2,426,723","1,300,000",0.536,,"2,526,567","5,900,000",2.335,,"3,829,921","1,000,000",0.261,,0,0,,,,,,,,,,,,,
2-code13,FALSE,2026-02,"10,455,029","17,600,000",1.683,,"4,174,883","5,800,000",1.389,,0,0,,,"895,458","3,900,000",4.355,,"5,384,688","7,900,000",1.467,,"4,174,883","3,800,000",0.91,,0,"2,000,000",,,,,,,,,0,0,,"2,000,000",
code14-xpage,TRUE,2026-04,"10,260,217","11,900,000",1.16,,"10,260,217","11,900,000",1.16,,0,0,,,0,0,,,0,0,,,"3,060,392","3,400,000",1.111,,"7,199,825","8,500,000",1.181,,"2,293,807",12,"191,151",0,0,,"2,689,624",14,"192,116","4,100,000",1.524
45-xpage-kv,TRUE,2026-04,"10,230,085","3,550,000",0.347,,"10,230,085","3,550,000",0.347,,0,0,,,0,0,,,0,0,,,"1,514,896",0,0,,"8,715,189","3,550,000",0.407,,"2,309,135",18,"128,285",0,0,,"4,147,194",18,"230,400","1,300,000",0.313
code200,FALSE,2026-03,"10,220,008","9,300,000",0.91,,"7,056,698","8,000,000",1.134,,0,0,,,0,0,,,"3,163,310","1,300,000",0.411,,"7,056,698","5,800,000",0.822,,0,"2,200,000",,,,,,,,,0,0,,"2,200,000",
code45-reup,FALSE,2026-04,"10,091,763","8,600,000",0.852,,"10,091,763","8,600,000",0.852,,0,0,,,0,0,,,0,0,,,"1,519,836","3,500,000",2.303,,"8,571,927","5,100,000",0.595,,"2,324,967",15,"154,998",0,0,,"4,203,097",22,"191,050","2,900,000",0.69
83-xpage-kv,TRUE,2026-04,"9,488,026","2,500,000",0.263,,"9,488,026","2,500,000",0.263,,0,0,,,0,0,,,0,0,,,"1,504,507",0,0,,"7,983,519","2,500,000",0.313,,"2,318,892",17,"136,405",0,0,,"3,094,932",18,"171,941","2,500,000",0.808
13-xpage-kv,TRUE,2026-04,"9,146,325","9,900,000",1.082,,"9,146,325","9,900,000",1.082,,0,0,,,0,0,,,0,0,,,"1,513,361",0,0,,"7,632,964","9,900,000",1.297,,"2,413,120",13,"185,625","5,200,000",2.155,,"2,423,144",11,"220,286","4,700,000",1.94
code85-reup,FALSE,2026-04,"8,970,101","10,300,000",1.148,,"8,970,101","10,300,000",1.148,,0,0,,,0,0,,,0,0,,,"1,061,286","1,700,000",1.602,,"7,908,815","8,600,000",1.087,,"2,632,371",10,"263,237","500,000",0.19,,"2,911,686",14,"207,978","6,800,000",2.335
code93,FALSE,2026-01,"8,909,760","1,000,000",0.112,,0,"1,000,000",,,"508,435",0,0,,"1,930,895",0,0,,"6,470,430",0,0,,0,"1,000,000",,,0,0,,,,,,,,,,,,,
ct6,FALSE,2026-01,"8,823,099","9,100,000",1.031,,"7,285,206","3,900,000",0.535,,"362,466","1,200,000",3.311,,0,0,,,"1,175,427","4,000,000",3.403,,"4,865,463","1,300,000",0.267,,"2,419,743","2,600,000",1.074,,,,,,,,"2,052,632",6,"342,105","2,600,000",1.267
code43-xp,TRUE,2026-04,"7,847,251","5,300,000",0.675,,"7,847,251","5,300,000",0.675,,0,0,,,0,0,,,0,0,,,"4,749,686","2,800,000",0.59,,"3,097,565","2,500,000",0.807,,"2,308,547",19,"121,502",0,0,,"664,531",1,"664,531",0,0
code83-xp,TRUE,2026-04,"7,210,637","1,500,000",0.208,,"7,210,637","1,500,000",0.208,,0,0,,,0,0,,,0,0,,,"4,513,647","1,500,000",0.332,,"2,696,990",0,0,,"2,006,186",11,"182,381",0,0,,"579,604",0,,0,0
code175,FALSE,2026-01,"6,912,452","4,700,000",0.68,,0,0,,,"5,447,053","3,000,000",0.551,,"1,465,399","1,700,000",1.16,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,
code216,FALSE,2026-04,"6,038,785","1,000,000",0.166,,"6,038,785","1,000,000",0.166,,0,0,,,0,0,,,0,0,,,"4,148,139","1,000,000",0.241,,"1,890,646",0,0,,"1,890,646",3,"630,215",0,0,,,,,,
code15_xpage,TRUE,2026-04,"5,594,031","11,100,000",1.984,,"5,594,031","11,100,000",1.984,,0,0,,,0,0,,,0,0,,,"2,427,266","1,750,000",0.721,,"3,166,765","9,350,000",2.953,,"2,314,657",14,"165,333","4,100,000",1.771,,"750,644",1,"750,644","1,300,000",1.732
ct19-xpage,TRUE,2026-04,"4,712,314","10,050,000",2.133,,"4,712,314","10,050,000",2.133,,0,0,,,0,0,,,0,0,,,"58,187",0,0,,"4,654,127","10,050,000",2.159,,"1,786,683",4,"446,671",0,0,,"1,769,030",9,"196,559","1,700,000",0.961
code118-xpage,TRUE,2026-04,"4,296,733",0,0,,"4,296,733",0,0,,0,0,,,0,0,,,0,0,,,"1,675,543",0,0,,"2,621,190",0,0,,"1,271,922",5,"254,384",0,0,,"1,090,330",2,"545,165",0,0
ct19-reup,FALSE,2026-04,"4,235,248","1,300,000",0.307,,"4,235,248","1,300,000",0.307,,0,0,,,0,0,,,0,0,,,"1,525,288","1,300,000",0.852,,"2,709,960",0,0,,"2,352,267",8,"294,033",0,0,,"226,075",0,,0,0
nhungnt56_xpage2,TRUE,2026-04,"4,039,609","2,500,000",0.619,,"4,039,609","2,500,000",0.619,,0,0,,,0,0,,,0,0,,,"2,035,908",0,0,,"2,003,701","2,500,000",1.248,,"2,003,701",4,"500,925","2,500,000",1.248,,,,,,
code73,FALSE,2026-03,"3,675,184",0,0,,"3,448,295",0,0,,0,0,,,0,0,,,"226,889",0,0,,"3,448,295",0,0,,0,0,,,,,,,,,,,,,
code63-2,FALSE,2026-04,"3,371,521",0,0,,"3,371,521",0,0,,0,0,,,0,0,,,0,0,,,"3,371,521",0,0,,0,0,,,,,,,,,,,,,
