Birth cohort,N codes,Age,Calendar month,Spend (VND),Revenue (VND),ROAS
2026-01,42,0,2026-01,243543722,111500000,0.458
2026-01,42,1,2026-02,145727468,74600000,0.512
2026-01,42,2,2026-03,333488984,204700000,0.614
2026-01,42,3,2026-04,213895465,156900000,0.734
2026-01,42,4,2026-05,105576838,75300000,0.713
2026-02,14,0,2026-02,20119323,17700000,0.880
2026-02,14,1,2026-03,68693434,67350000,0.980
2026-02,14,2,2026-04,83410826,63500000,0.761
2026-02,14,3,2026-05,45136724,31450000,0.697
2026-03,15,0,2026-03,21665027,10000000,0.462
2026-03,15,1,2026-04,29399718,19850000,0.675
2026-03,15,2,2026-05,8375627,9600000,1.146
2026-04,64,0,2026-04,102410108,84350000,0.824
2026-04,64,1,2026-05,180335693,163500000,0.907
2026-05,13,0,2026-05,47241818,20800000,0.440
