Code,is_xpage,# active ads,Accounts,Sample campaigns,YTD spend,YTD rev,YTD ROAS,Apr spend,Apr rev,Apr ROAS,May spend,May rev,May ROAS
intro2-xpage,TRUE,4,Kurio 3,CVS_TUANTA_14/06_INTRO_Xpage2 - Bản sao 2|CVS_TUANTA_14/06_INTRO_Xpage2 - Bản sao,22988679,36450000,1.586,4224354,6500000,1.539,18764325,29950000,1.596
nm-3,FALSE,2,Kurio 3,CVS_TUANTA_01/07_CODE_NM+CX - Bản sao 2|CVS_TUANTA_01/07_CODE_NM+CX - Bản sao 3,39807920,37350000,0.938,17738588,20450000,1.153,12497004,8300000,0.664
code45-xp,TRUE,2,Kurio 2,CVS_TUANTA_15/06_CODE45+44_Xpage_TG - Bản sao|CVS_TUANTA_15/06_CODE45+44_Xpage,17495819,26000000,1.486,5905908,12300000,2.083,11589911,13700000,1.182
code13-reup,FALSE,2,Kurio 2,CVS_TUANTA_21/04_CODE13_reup - Bản sao 2|CVS_TUANTA_21/04_CODE13_reup - Bản sao,12909310,7900000,0.612,1449025,0,0.000,11460285,7900000,0.689
cx93-3,FALSE,2,Kurio 3,CVS_TUANTA_01/07_CODE_CX93+94 - Bản sao 3|CVS_TUANTA_01/07_CODE_CX93+94 - Bản sao 2,23495164,13150000,0.560,5592870,1300000,0.232,10401174,6150000,0.591
code83-x3,FALSE,2,Kurio 3,CVS_TUANTA_04/08_CODE81+83+84_TG - LT - Bản sao 6|CVS_TUANTA_04/08_CODE81+83+84_TG - LT - Bản sao 5,51712700,28800000,0.557,18016376,11200000,0.622,10323612,6900000,0.668
ct19,FALSE,2,Kurio 3,CVS_TUANTA_07/07_CODE19 - TG - Bản sao 3|CVS_TUANTA_07/07_CODE19 - TG - Bản sao 2,41488161,21150000,0.510,7192375,6100000,0.848,9768895,2700000,0.276
ct18-xpage,TRUE,3,Kurio 2,CVS_TUANTA_25/06_CT18+19-xpage - Bản sao|CVS_TUANTA_25/06_CT18+19-xpage,11976690,5300000,0.443,2399207,3100000,1.292,9577483,2200000,0.230
code13,FALSE,2,Kurio 3,CVS_TUANTA_16/06_CODE13 - Bản sao 4|CVS_TUANTA_16/06_CODE13 - Bản sao 3,91792950,44550000,0.485,27010034,13050000,0.483,9159239,5200000,0.568
code13_xpage,TRUE,2,Kurio 2,CVS_TUANTA_14/4_CODE13_Xpage2_TG - Bản sao|CVS_TUANTA_14/4_CODE13_Xpage2_TG,14499968,14850000,1.024,5634578,7850000,1.393,8865390,7000000,0.790
45-xpage-kv,TRUE,2,Kurio 3,CVS_TUANTA_CODE45_xpage_kv - Bản sao|CVS_TUANTA_CODE45_xpage_kv,10230085,3550000,0.347,1514896,0,0.000,8715189,3550000,0.407
